ppn,isbn_normalise,titre,annee,nomAuteur,lieuPublication,editeur,sujet,raisons,Source,Ensemble,Acquisition,Occupations,date_naissance,date_deces
027149307,9783822836125,Maya,2004,"Stierlin, Henri",Köln,TASCHEN,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822872017,"The Romanesque : towns, cathedrals and monasteries",1998,"Barral i Altet, Xavier",Köln - London,Taschen,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822873007,"Romanik : Städte, Klöster und Kathedralen",1998,"Barral i Altet, Xavier",Köln [etc.],Taschen,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822877197,Turquie : des Seldjoukides aux Ottomans,1998,"Stierlin, Henri",Köln [ect.],Taschen,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822877678,Turkey : from the Selçuks to the Ottomans,1998,"Stierlin, Henri",Köln,Taschen,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822878576,Türkei : von den Seldschuken zu den Osmanen,1998,"Stierlin, Henri",Köln [etc.],Taschen,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822881057,Haut moyen-âge : de l'antiquité tardive à l'an mil,1997,"Barral i Altet, Xavier",Köln,Taschen,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822882023,Frühes Mittelalter : von der Spätantike bis zum Jahr 1000,1997,"Barral i Altet, Xavier",Köln [etc.],Taschen,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822885628,The Roman empire,1996,"Stierlin, Henri",Köln - London,Taschen,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822889251,Encyclopedia of world architecture,1994,"Stierlin, Henri",Cologne,Evergreen,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822889688,Die Kunst der Maya,1994,"Stierlin, Henri",Köln,Taschen,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822889695,Städte in der Wüste,1994,"Stierlin, Henri",Köln,Taschen,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822892992,Grèce : de Mycènes au Parthénon,1997,"Stierlin, Henri",Köln [etc.],Taschen,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822893012,India,,"Volwahsen, Andreas",[Cologne],Benedikt Taschen,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783822893029,Islamic India,,"Volwahsen, Andreas",[Köln],Benedikt Taschen,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783829602075,Die grossen Monumente des Altertums,2005,Henri Stierlin,München,Schirmer/Mosel,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9783836510370,Grèce : de Mycènes au Parthénon,2009,Henri Stierlin,Hong Kong. - Köln. - Paris [etc.],Taschen,Architecture grecque,deces_auteur,BNF,Genevensia,,,1928,2022
027149307,9783894056070,Schätze des Orients,2002,"Stierlin, Henri",München,Frederking und Thaler,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9788370799496,Imperium Romanum,1997,"Stierlin, Henri",Warszawa,Muza,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9788370799502,Islam,1997,"Stierlin, Henri",Warszawa,Muza,,,DNB,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9788497851831,Arte islámico del Mediterráneo,2005,Henri Stierlin,[Barcelona],Lunwerg,,,SUDOC,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9789029001526,Angkor,1971,"Stierlin, Henri",[Amsterdam],Meulenhoff,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
027149307,9789774249495,"Masterworks of Islamic architecture : from Damascus to Granada, from Cairo to Istanbul",2005,"Stierlin, Henri",Cairo,The American University in Cairo Press,,,NZ,Auteur,,photographe | historien ou historienne de l'art | journaliste,1928,2022
02715002X,9782831302126,La case de l'oncle Tom,1994,Harriet Beecher Stowe,Genève,G. Naef,,lieu_publication,BNF,Dépôt légal,,,1811,1896
027151824,9781841139821,"International law, power, security and justice : essays on international law and relations",2010,"Sur, Serge",Oxford,Hart Publ.,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9781855212350,"Verification of current disarmament and arms limitation agreements : ways, means and practices",1991,"Sur, Serge",Geneva - Aldershot [etc.],UNIDIR - Dartmouth,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9781855212572,Disarmament agreements and negotiations : the economic dimension,1991,"Sur, Serge",Geneva - Aldershot [etc.],UNIDIR - Dartmouth,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9781855215894,Disarmament and arms limitation obligations : problems of compliance and enforcement,1994,"Sur, Serge",Geneva - Aldershot [etc.],UNIDIR - Dartmouth,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782110068385,Des murs entre les hommes,2007,"Novosseloff, Alexandra",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782110095619,<<Les>> aventures de la mondialisation : les relations internationales au début du XXIe siècle,2014,"Sur, Serge",Paris,la Documentation française,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782111577794,La France dans le monde,2023,"Sur, Serge",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782111577824,Les inégalités dans le monde,2023,"Sur, Serge",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782111577855,Fracturation(s) : 20 ans de relations internationales,2023,"Sur, Serge",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782111579408,Les deux Corées,2024,"Sur, Serge",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782111579439,États-Unis : Le ressac de la puissance,2024,"Sur, Serge",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782111579460,La gangstérisation du monde,2024,"Sur, Serge",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782111579491,Allemagne : changement d'époque,2024,"Sur, Serge",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782111740426,Armes nucléaires : le retour de la menace,2024,"Sur, Serge",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782111741331,La démographie : une inconnue décisive,2025,"Sur, Serge",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782111742024,<<le>> désordre fiscal international,2025,"Sur, Serge",Paris,La Documentation française,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782111742345,Les clés du monde contemporain,2025,"Sur, Serge",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782111742819,Géopolitique du Caucase : Arménie - Azerbaïdjan - Géorgie - Russie,2026,"Sur, Serge",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782111743366,Insécurité en Asie : Les grandes manoeuvres,2026,"Sur, Serge",Paris,La Documentation française,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782130384182,Le Système politique de la Ve République,1983,"Sur, Serge",Paris,Presses universitaires de France,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782130401520,Le système politique de la Ve République,1981,"Sur, Serge",Paris,Presses universitaires de France,,,SUDOC,Auteur,,juriste | professeur d'université,1944,
027151824,9782130439356,<<Le>> système politique de la Ve République,1991,"Sur, Serge",Paris,Presses universitaires de France,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782140297960,<<La>> crise du détroit d'Ormuz de 2018 à nos jours : une victoire iranienne ?,2022,"Gafaïti, Kevan",Paris,L'Harmattan,,,NZ,Auteur,,juriste | professeur d'université,1944,
027151824,9782233003294,<<Le>> droit international des armes nucléaires,1998,"Sur, Serge",Paris,Pédone,,,NZ,Auteur,,juriste | professeur d'université,1944,
